chain_id,pdb,uniprot,genes,location,function1,function2,species
648,5mrc.66,P53292,MRPS35 YGR165W,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",structural constituent of ribosome [GO:0003735],0
649,5mrc.88,P28817,EHD3 MRP5 YDR036C YD9673.08C,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane (PubMed:14566057, PubMed:25609543, PubMed:28154081). mS47 has enzymatic activity in vitro, and is able to catalyze the specific hydrolysis of 3-hydroxyisobutyryl-CoA (HIBYL-CoA). However, because the turnover rate of mS47/EHD3 is only a fraction of that of the homologous mammalian enzyme, the physiological function of this activity remains unclear (PubMed:12697341). Has an indirect role in endocytic membrane trafficking (PubMed:11378903). {ECO:0000269|PubMed:11378903, ECO:0000269|PubMed:12697341, ECO:0000305|PubMed:14566057, ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",3-hydroxyisobutyryl-CoA hydrolase activity [GO:0003860],0
650,5mrc.CC,P02381,VAR1 Q0140,"Mitochondrion {ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane (PubMed:25609543, PubMed:28154081). uS3m is essential for mitochondrial protein synthesis and required for the maturation of small ribosomal subunits (PubMed:7770043). {ECO:0000269|PubMed:7770043, ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",structural constituent of ribosome [GO:0003735],0
651,5mrc.EE,P33759,MRPS5 YBR251W YBR1704,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
652,5mrc.FF,P28778,MRP17 YKL003C,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],0
653,5mrc.HH,Q03799,MRPS8 YMR158W YM8520.07,"Mitochondrion {ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",structural constituent of ribosome [GO:0003735],0
654,5mrc.II,P38120,MRPS9 YBR146W YBR1123,"Mitochondrion {ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
655,5mrc.JJ,Q03201,RSM10 YDR041W YD6888.03,"Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",structural constituent of ribosome [GO:0003735],0
656,5mrc.KK,P42847,MRPS18 YNL306W N0397,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",mRNA 5'-UTR binding [GO:0048027]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],0
657,5mrc.LL,P53732,MRPS12 YNR036C N3298,"Mitochondrion {ECO:0000269|PubMed:16823961}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane (PubMed:25609543, PubMed:28154081). uS12m is required for respiratory growth (PubMed:11780787). {ECO:0000269|PubMed:11780787, ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",structural constituent of ribosome [GO:0003735],0
658,5mrc.MM,P53937,SWS2 YNL081C N2322,"Mitochondrion {ECO:0000269|PubMed:10649453, ECO:0000269|PubMed:14562095}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
659,5mrc.NN,P10663,MRP2 YPR166C P9325.7,"Mitochondrion {ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",structural constituent of ribosome [GO:0003735],0
660,5mrc.OO,P21771,MRPS28 YDR337W D9651.3,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],0
661,5mrc.PP,Q02608,MRPS16 YPL013C LPA4C,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",structural constituent of ribosome [GO:0003735],0
662,5mrc.QQ,Q03246,MRPS17 YMR188C YM8010.18C,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:15543521}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane (PubMed:25609543, PubMed:28154081). uS17m may have a meiosis-specific role as it accumulates during the middle stage of sporulation (PubMed:15543521). {ECO:0000269|PubMed:15543521, ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],0
663,5mrc.SS,P53733,RSM19 YNR037C N3300,"Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
664,5mrc.UU,P40496,RSM25 YIL093C,"Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",structural constituent of ribosome [GO:0003735],0
665,5mrc.WW,Q01163,RSM23 YGL129C G2856,"Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. mS29 binds GTP and is probably an active GTPase. GTP hydrolysis may be linked to subunit association (PubMed:25609543, PubMed:28154081). mS29 also has an extraribosomal function, being required for maintenance of mitochondrial DNA (PubMed:11017876). {ECO:0000269|PubMed:11017876, ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",GTP binding [GO:0005525]; structural constituent of ribosome [GO:0003735],0
666,5mrc.XX,P53305,RSM27 YGR215W,"Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",structural constituent of ribosome [GO:0003735],0
667,5mrc.YY,Q03976,RSM24 YDR175C,"Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",structural constituent of ribosome [GO:0003735],0
668,5mrc.ZZ,O75012,MRP10 YDL045W-A,"Mitochondrion {ECO:0000269|PubMed:14562095}. Mitochondrion matrix {ECO:0000269|PubMed:24360785}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.","Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000269|PubMed:9065385, ECO:0000305|PubMed:25609543, ECO:0000305|PubMed:28154081}.",structural constituent of ribosome [GO:0003735],0
669,5msm.A,P25559,DCC1 YCL016C YCL16C,,"Component of the RFC-like complex CTF18-RFC which is required for efficient establishment of chromosome cohesion during S-phase and may load or unload POL30/PCNA. During a clamp loading circle, the RFC:clamp complex binds to DNA and the recognition of the double-stranded/single-stranded junction stimulates ATP hydrolysis by RFC. The complex presumably provides bipartite ATP sites in which one subunit supplies a catalytic site for hydrolysis of ATP bound to the neighboring subunit. Dissociation of RFC from the clamp leaves the clamp encircling DNA. {ECO:0000269|PubMed:11389843, ECO:0000269|PubMed:15964801}.",,0
670,5msm.B,P38877,CTF8 YHR191C,Nucleus {ECO:0000269|PubMed:11389843}. Note=Associates with chromatin.,"Essential for the fidelity of chromosome transmission. Required for the DNA replication block checkpoint. Component of the RFC-like complex CTF18-RFC which is required for efficient establishment of chromosome cohesion during S-phase and may load or unload POL30/PCNA. During a clamp loading circle, the RFC:clamp complex binds to DNA and the recognition of the double-stranded/single-stranded junction stimulates ATP hydrolysis by RFC. The complex presumably provides bipartite ATP sites in which one subunit supplies a catalytic site for hydrolysis of ATP bound to the neighboring subunit. Dissociation of RFC from the clamp leaves the clamp encircling DNA. {ECO:0000269|PubMed:11389843, ECO:0000269|PubMed:15964801}.",DNA binding [GO:0003677],0
671,5mtz.A,P36159,TRZ1 YKR079C,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,"Zinc phosphodiesterase, which displays some tRNA 3'-processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA.",3'-tRNA processing endoribonuclease activity [GO:0042781]; metal ion binding [GO:0046872],0
672,5n6n.A,P29311,BMH1 YER177W,,Involved in growth regulation.,DNA replication origin binding [GO:0003688]; phosphoserine residue binding [GO:0050815]; protein domain specific binding [GO:0019904]; RNA polymerase II activating transcription factor binding [GO:0001102],0
673,5n6n.C,P32356,NTH1 NTH YDR001C YD8119.07C,Cytoplasm.,,"alpha,alpha-trehalase activity [GO:0004555]; calcium ion binding [GO:0005509]",0
674,5nf8.A,Q03713,RCF1 AIM31 YML030W,"Mitochondrion membrane {ECO:0000255|PROSITE-ProRule:PRU00836, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00836, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.","Cytochrome c oxidase subunit required for growth under hypoxic conditions. Involved in the assembly of the Complex III-Complex IV supercomplex, as well as in the recruitment of COX13 and RCF2 into cytochrome c oxidase. May also be required for late-stage assembly of the COX12 and COX13 subunits and for cytochrome c oxidase activity. {ECO:0000269|PubMed:22310663, ECO:0000269|PubMed:22342701, ECO:0000269|PubMed:22405070}.",,0
675,5nzr.F,P11076,ARF1 YDL192W D1244,Golgi apparatus.,"GTP-binding protein involved in protein trafficking; may modulate vesicle budding and uncoating within the Golgi apparatus. Recruits polyadenylate-binding protein PAB1 to COPI vesicles, and this is required for correct localization of the asymmetrically distributed ASH1 mRNA. {ECO:0000269|PubMed:15356266}.",GTPase activity [GO:0003924]; GTP binding [GO:0005525],0
676,5o9q.A,Q06135,GAS2 YLR343W L8300.5,"Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}.","Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non-reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3-beta-glucan chains in the cell wall. Involved in spore wall assembly. {ECO:0000269|PubMed:17189486, ECO:0000269|PubMed:17397106, ECO:0000269|PubMed:19097997}.","1,3-beta-glucanosyltransferase activity [GO:0042124]",0
677,5oge.A,P40107,VRG4 GOG5 LDB3 MCD3 VAN2 VIG4 YGL225W,Golgi apparatus membrane; Multi-pass membrane protein. Cytoplasmic vesicle membrane; Multi-pass membrane protein. Endoplasmic reticulum membrane; Multi-pass membrane protein. Note=Recycles between the Golgi apparatus and the endoplasmic reticulum.,"Involved in the import of GDP-mannose from the cytoplasm into the Golgi lumen. Defective copy causes severe glycosylation defect and abnormal retention of soluble endoplasmic reticulum proteins. Involved in vanadate sensitivity. {ECO:0000269|PubMed:10570930, ECO:0000269|PubMed:11067855, ECO:0000269|PubMed:12478588, ECO:0000269|PubMed:15494368, ECO:0000269|PubMed:2014241, ECO:0000269|PubMed:2137555, ECO:0000269|PubMed:7672592, ECO:0000269|PubMed:7877969, ECO:0000269|PubMed:8632002, ECO:0000269|PubMed:9184829, ECO:0000269|PubMed:9335583, ECO:0000269|PubMed:9395539}.",GDP-mannose transmembrane transporter activity [GO:0005458],0
678,5ojs.T,P38811,TRA1 YHR099W,Nucleus {ECO:0000305}.,"Essential component of histone acetyltransferase (HAT) complexes, which serves as a target for activators during recruitment of HAT complexes. Essential for vegetative growth. Functions as a component of the transcription regulatory histone acetylation (HAT) complexes SAGA, SALSA and SLIK. SAGA is involved in RNA polymerase II-dependent transcriptional regulation of approximately 10% of yeast genes. At the promoters, SAGA is required for recruitment of the basal transcription machinery. It influences RNA polymerase II transcriptional activity through different activities such as TBP interaction (SPT3, SPT8 and SPT20) and promoter selectivity, interaction with transcription activators (GCN5, ADA2, ADA3 and TRA1), and chromatin modification through histone acetylation (GCN5) and deubiquitination (UBP8). SAGA acetylates nucleosomal histone H3 to some extent (to form H3K9ac, H3K14ac, H3K18ac and H3K23ac). SAGA interacts with DNA via upstream activating sequences (UASs). SALSA, an altered form of SAGA, may be involved in positive transcriptional regulation. SLIK is proposed to have partly overlapping functions with SAGA. It preferentially acetylates methylated histone H3, at least after activation at the GAL1-10 locus. {ECO:0000269|PubMed:10026213, ECO:0000269|PubMed:11423663}.",kinase activity [GO:0016301],0
679,5on6.AO,P0CX87,RPL41B RPL47B YL41B YDL133C-A YDL133BC,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735],0
680,5oqj.0,P06839,RAD3 REM1 YER171W,Nucleus.,"ATP-dependent 5'-3' DNA helicase, component of the general transcription and DNA repair factor IIH (TFIIH) core complex, which is involved in general and transcription-coupled nucleotide excision repair (NER) of damaged DNA and, when complexed to TFIIK, in RNA transcription by RNA polymerase II. In NER, TFIIH acts by opening DNA around the lesion to allow the excision of the damaged oligonucleotide and its replacement by a new DNA fragment. The ATP-dependent helicase activity of XPD/RAD3 is required for DNA opening. In transcription, TFIIH has an essential role in transcription initiation. When the pre-initiation complex (PIC) has been established, TFIIH is required for promoter opening and promoter escape. Phosphorylation of the C-terminal tail (CTD) of the largest subunit of RNA polymerase II by the kinase module TFIIK controls the initiation of transcription. XPD/RAD3 acts by forming a bridge between TFIIK and the core-TFIIH complex. Involved in the maintenance of the fidelity of DNA replication. {ECO:0000269|PubMed:7813015, ECO:0000269|PubMed:7961739, ECO:0000269|PubMed:8269516, ECO:0000269|PubMed:8631896}.","4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP-dependent 5'-3' DNA helicase activity [GO:0043141]; damaged DNA binding [GO:0003684]; metal ion binding [GO:0046872]",0
681,5oqj.4,Q12004,TFB4 YPR056W,Nucleus {ECO:0000250}.,"Component of the general transcription and DNA repair factor IIH (TFIIH) core complex, which is involved in general and transcription-coupled nucleotide excision repair (NER) of damaged DNA and, when complexed to TFIIK, in RNA transcription by RNA polymerase II. In NER, TFIIH acts by opening DNA around the lesion to allow the excision of the damaged oligonucleotide and its replacement by a new DNA fragment. In transcription, TFIIH has an essential role in transcription initiation. When the pre-initiation complex (PIC) has been established, TFIIH is required for promoter opening and promoter escape. Phosphorylation of the C-terminal tail (CTD) of the largest subunit of RNA polymerase II by the kinase module TFIIK controls the initiation of transcription. {ECO:0000269|PubMed:10506223, ECO:0000269|PubMed:7961739, ECO:0000269|PubMed:8631896}.","damaged DNA binding [GO:0003684]; metal ion binding [GO:0046872]; translation factor activity, RNA binding [GO:0008135]",0
682,5oqj.5,Q3E7C1,TFB5 YDR079C-A,Nucleus {ECO:0000269|PubMed:14562095}.,"Component of the general transcription and DNA repair factor IIH (TFIIH) core complex, which is involved in general and transcription-coupled nucleotide excision repair (NER) of damaged DNA and, when complexed to TFIIK, in RNA transcription by RNA polymerase II. In NER, TFIIH acts by opening DNA around the lesion to allow the excision of the damaged oligonucleotide and its replacement by a new DNA fragment. In transcription, TFIIH has an essential role in transcription initiation. When the pre-initiation complex (PIC) has been established, TFIIH is required for promoter opening and promoter escape. Phosphorylation of the C-terminal tail (CTD) of the largest subunit of RNA polymerase II by the kinase module TFIIK controls the initiation of transcription. TFB5 is required for stable recruitment of TFIIH to a promoter, but not for stability of TFIIH subunits. {ECO:0000269|PubMed:7961739, ECO:0000269|PubMed:8631896}.",,0
683,5oqm.k,Q06213,NUT2 MED10 YPR168W P9325.2,Nucleus {ECO:0000269|PubMed:14562095}.,"Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. The Mediator complex, having a compact conformation in its free form, is recruited to promoters by direct interactions with regulatory proteins and serves for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. The Mediator complex unfolds to an extended conformation and partially surrounds RNA polymerase II, specifically interacting with the unphosphorylated form of the C-terminal domain (CTD) of RNA polymerase II. The Mediator complex dissociates from the RNA polymerase II holoenzyme and stays at the promoter when transcriptional elongation begins. {ECO:0000269|PubMed:11555651, ECO:0000269|PubMed:16076843, ECO:0000269|PubMed:16263706, ECO:0000269|PubMed:9671481}.",transcription coregulator activity [GO:0003712],0
